date,max,min,mean
2023-06-11,29.630245,16.380245,23.61483
2023-06-12,29.810246,14.140245,23.101082
2023-06-13,28.490246,13.630245,21.629412
2023-06-14,27.850245,10.720245,20.754412
2023-06-15,27.690245,13.880245,21.203163
2023-06-16,28.270245,13.5602455,21.949827
2023-06-17,29.980246,11.790245,22.59816
2023-06-18,31.300245,15.240245,23.505243
2023-06-19,30.490246,19.390245,24.590662
2023-06-20,32.320248,19.090246,24.701494
2023-06-21,27.750246,20.120245,23.273163
2023-06-22,29.430244,18.380245,22.576494
2023-06-23,25.960245,17.510244,21.22191
2023-06-24,28.920246,13.080245,22.027746
2023-06-25,31.290245,13.520246,23.260664
2023-06-26,30.340246,17.060246,23.984827
2023-06-27,25.740246,15.840245,20.797325
2023-06-28,27.560246,14.680245,20.863577
2023-06-29,28.130245,14.860246,22.435661
2023-06-30,22.080246,17.980246,19.758997
2023-07-01,23.120245,15.830245,19.248995
2023-07-02,24.670246,17.480246,20.48608
2023-07-03,24.360245,16.640245,20.432745
2023-07-04,26.030245,16.920246,21.596077
2023-07-05,23.410246,17.880245,20.146078
2023-07-06,27.540245,13.980246,20.91941
2023-07-07,32.560246,13.100245,23.392328
2023-07-08,31.450245,19.660246,24.343994
2023-07-09,35.510246,18.010244,27.27066
2023-07-10,32.150246,21.350245,26.311495
2023-07-11,36.150246,19.680244,27.628166
2023-07-12,26.920246,20.840246,23.411499
2023-07-13,26.700245,17.280245,22.136911
2023-07-14,30.900246,13.550245,22.320663
2023-07-15,32.990246,17.840246,25.513159
2023-07-16,25.050245,16.970245,20.77566
2023-07-17,26.930244,18.890245,22.70066
2023-07-18,27.540245,15.950245,22.17108
2023-07-19,29.590246,19.880245,24.69233
2023-07-20,27.080246,16.990246,22.472328
2023-07-21,24.240246,15.440246,20.15566
2023-07-22,27.160246,13.700245,21.280247
2023-07-23,28.890245,14.260245,22.182747
2023-07-24,23.390245,17.740246,20.434828
2023-07-25,,,
2023-07-26,,,
2023-07-27,,,
2023-07-28,,,
2023-07-29,,,
2023-07-30,,,
2023-07-31,,,
2023-08-01,,,
